,CNT,SUBNATIO,STRATUM,OECD,NC,SCHOOLID,SC01Q01,SC02Q01,SC02Q02,SC02Q03,SC02Q04,SC03Q01,SC04Q01,SC05Q01,SC07Q01,SC07Q02,SC09Q11,SC09Q12,SC09Q21,SC09Q22,SC09Q31,SC09Q32,SC10Q11,SC10Q12,SC10Q61,SC10Q62,SC10Q21,SC10Q22,SC10Q41,SC10Q42,SC10Q51,SC10Q52,SC11Q01,SC11Q02,SC11Q03,SC13Q01,SC13Q02,SC13Q03,SC14Q01,SC14Q02,SC14Q03,SC14Q04,SC14Q05,SC14Q06,SC14Q07,SC14Q08,SC14Q09,SC14Q10,SC14Q11,SC14Q12,SC14Q13,SC15Q01,SC15Q02,SC15Q03,SC15Q04,SC16Q01,SC16Q02,SC16Q03,SC16Q04,SC16Q05,SC16Q06,SC16Q07,SC16Q08,SC16Q09,SC16Q10,SC16Q11,SC18Q01,SC18Q02,SC18Q03,SC18Q04,SC18Q05,SC18Q06,SC18Q07,SC18Q08,SC19Q01,SC19Q02,SC20Q01,SC21Q05,SC22Q01,SC22Q02,SC22Q03,SC22Q04,SC22Q05,SC22Q06,SC22Q07,SC22Q08,SC22Q09,SC22Q10,SC22Q11,SC22Q12,SC22Q13,SC22Q14,SC22Q15,SC22Q16,SC22Q17,SC22Q18,SC22Q19,SC23Q01,SC24Q01,SC25Q01,SC25Q02,SC25Q03,SC25Q04,SC25Q05,SC25Q06,SC25Q07,SC25Q08,SC25Q09,SC25Q10,SC25Q11,SC25Q12,SC26Q01,SC26Q02,SC26Q03,SC26Q04,SC27Q01,SC27Q02,SC28Q01,SC28Q02,SC29Q01,SC29Q02,SC30Q01,SC30Q02,SC30Q03,SC30Q04,SC31Q01,SC31Q02,SC31Q03,SC31Q04,SC31Q05,SC31Q06,SC31Q07,SC32Q01,SC32Q03,SC32Q04,SC32Q05,SC32Q06,SC32Q07,SC32Q08,SC33Q01A,SC33Q01B,SC33Q01C,SC33Q01D,SC33Q01E,SC33Q02A,SC33Q02B,SC33Q02C,SC33Q02D,SC33Q02E,SC33Q03A,SC33Q03B,SC33Q03C,SC33Q03D,SC33Q03E,SC33Q04A,SC33Q04B,SC33Q04C,SC33Q04D,SC33Q04E,SC33Q05A,SC33Q05B,SC33Q05C,SC33Q05D,SC33Q05E,SC33Q06A,SC33Q06B,SC33Q06C,SC33Q06D,SC33Q06E,SC33Q07A,SC33Q07B,SC33Q07C,SC33Q07D,SC33Q07E,SC33Q08A,SC33Q08B,SC33Q08C,SC33Q08D,SC33Q08E,SC33Q09A,SC33Q09B,SC33Q09C,SC33Q09D,SC33Q09E,SC33Q10A,SC33Q10B,SC33Q10C,SC33Q10D,SC33Q10E,SC33Q11A,SC33Q11B,SC33Q11C,SC33Q11D,SC33Q11E,SC33Q12A,SC33Q12B,SC33Q12C,SC33Q12D,SC33Q12E,SC34Q01,SC34Q02,SC34Q03,SC34Q04,SC34Q05,SC34Q06,SC34Q07,SC34Q08,SC34Q09,SC34Q10,SC34Q11,SC34Q12,SC34Q13,SC34Q14,SC34Q15,SC34Q16,SC34Q17,SC34Q18,SC34Q19,SC34Q20,SC34Q22,SC35Q01,SC35Q02,SC39Q01,SC39Q02,SC39Q03,SC39Q05,SC39Q06,SC39Q07,SC39Q08,SC39Q09,SC39Q10,SC40Q01,SC40Q02,SC40Q03,SC44Q01,SC44Q02,SC44Q03,SC44Q04,SC44Q05,SC44Q06,SC47Q01,SC45Q01,SC46Q01,SC46Q02,SC46Q03,SC46Q05,SC46Q04,SC46Q06,SC46Q09,SC52Q01,SC46Q07,SC46Q08,SC52Q02,SC51Q01,SC51Q02,ABGMATH,ASSESS,CLSIZE,COMPWEB,CREACTIV,LEADCOM,LEADINST,LEADPD,LEADTCH,MACTIV,MATHEXC,PCGIRLS,PROPCERT,PROPMA5A,PROPMATH,PROPQUAL,RATCMP15,RESPCUR,RESPRES,SCHAUTON,SCHLTYPE,SCHSEL,SCHSIZE,SCMATBUI,SCMATEDU,SMRATIO,STRATIO,STUDCLIM,TCFOCST,TCHPARTI,TCMORALE,TCSHORT,TEACCLIM,W_FSCHWT,SENWGT_SCQ,VER_SCQ
5558,Germany,2760000,DEU0210,OECD,Germany,32,Public,100.0,,,,Town,Two or More,4,486.0,578.0,52.0,27.0,52.0,20.0,,,14.0,5.0,13.0,5.0,11.0,5.0,,,,,157.0,32.0,32.0,<10%,10-25%,51-75%,To some extent,To some extent,Very little,Very little,Not at all,Not at all,Very little,To some extent,Very little,Not at all,Very little,Not at all,To some extent,Not for any classes,Not for any classes,Not for any classes,For all classes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Both enrichment and remedial,Not at all,Not at all,Not at all,Not at all,Not at all,Very little,Not at all,Very little,Not at all,Not at all,Not at all,Not at all,Not at all,Very little,Very little,Very little,Very little,Very little,Not at all,0.0,Minority of Parents,10.0,10.0,10.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Agree,Yes,No,Yes,No,No change,No change,A small change,No change,A small change,No change,A moderate change,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,1.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,2.0,,1.0,2.0,2.0,2.0,,2.0,1.0,1.0,2.0,,1.0,2.0,2.0,2.0,,2.0,1.0,1.0,2.0,,2.0,1.0,2.0,1.0,,1.0,2.0,2.0,2.0,,Once a month,1-2 times during the year,Once a month,1-2 times during the year,3-4 times during the year,Once a month,1-2 times during the year,Once a month,Once a week,More than once a week,More than once a week,1-2 times during the year,Once a month,1-2 times during the year,Did not occur,1-2 times during the year,1-2 times during the year,Once a month,Did not occur,Once a month,1-2 times during the year,0.0,0.0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Not likely,Not likely,Not likely,Not likely,Not likely,Not likely,,,,,,,,,,,,,,,,No ability grouping between any classes,5.0,28.0,1.0,3.0,-0.9829,0.0432,-0.6241,0.6907,5.0,Both enrichment and remedial,0.543,0.947,0.818,0.252,,0.204,0.03,-0.53,-0.0586,3.0,At least one sometimes but neither always,1064.0,-0.1662,0.224,64.485,16.244,1.5235,0.0095,-0.1437,0.0826,1.1868,0.6468,32.9566,2.4135,22NOV13
5559,Germany,2760000,DEU0210,OECD,Germany,33,Public,95.0,,5.0,,City,Two or More,4,306.0,293.0,27.0,19.0,,,,,6.0,1.0,6.0,1.0,6.0,1.0,,,,,55.0,,,<10%,<10%,>75%,Not at all,Not at all,Not at all,Very little,To some extent,To some extent,Very little,Very little,Very little,Very little,Very little,Very little,Very little,Not for any classes,Not for any classes,Not for any classes,For all classes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,,To some extent,To some extent,To some extent,Very little,Very little,Very little,Not at all,Very little,Very little,Not at all,Not at all,Not at all,Not at all,Very little,Very little,Not at all,Very little,Very little,Very little,,Minority of Parents,10.0,5.0,10.0,30.0,5.0,10.0,3.0,3.0,0.0,2.0,5.0,0.0,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Strongly agree,Yes,Yes,Yes,No,No change,No change,No change,A moderate change,No change,No change,No change,Always,Never,Never,Never,Always,Never,Never,1.0,2.0,1.0,2.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,2.0,,1.0,2.0,1.0,2.0,,1.0,1.0,2.0,2.0,,2.0,2.0,2.0,1.0,,2.0,1.0,1.0,2.0,,2.0,1.0,2.0,1.0,,1.0,1.0,2.0,2.0,,More than once a week,Once a month,3-4 times during the year,3-4 times during the year,Did not occur,Once a month,Once a month,1-2 times during the year,More than once a week,More than once a week,More than once a week,1-2 times during the year,Once a week,1-2 times during the year,Did not occur,1-2 times during the year,3-4 times during the year,Did not occur,Did not occur,Once a month,1-2 times during the year,0.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Likely,Not likely,Likely,Not likely,Not likely,Not likely,,,,,,,,,,,,,,,,No ability grouping between any classes,5.0,28.0,,3.0,-0.3532,-1.2063,0.3739,0.6907,1.0,,0.489,,1.0,0.178,,,0.03,-0.46,-0.3533,3.0,At least one always considered,599.0,-0.1662,-0.5214,92.154,16.411,-0.6182,-0.6748,0.2924,0.0826,-0.2817,0.4389,66.5594,4.8743,22NOV13
5560,Germany,2760000,DEU0107,OECD,Germany,34,Public,75.0,0.0,15.0,10.0,City,Two or More,4,482.0,546.0,74.0,23.0,57.0,10.0,,,9.0,3.0,0.0,0.0,,,,,0.0,0.0,118.0,17.0,17.0,<10%,<10%,26-50%,Very little,Very little,Not at all,Very little,To some extent,Very little,Very little,Not at all,Very little,Not at all,Very little,A lot,To some extent,Not for any classes,Not for any classes,Not for any classes,For all classes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Remedial only,Very little,Very little,To some extent,Very little,Not at all,Very little,Not at all,Very little,Not at all,Very little,To some extent,Not at all,Not at all,To some extent,To some extent,To some extent,Very little,Very little,Very little,1.0,Minority of Parents,10.0,10.0,20.0,10.0,0.0,0.0,2.0,0.0,2.0,5.0,5.0,0.0,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Agree,No,No,Yes,No,No change,No change,No change,No change,No change,No change,A moderate change,Sometimes,Sometimes,Always,Sometimes,Always,Always,Always,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,1.0,1.0,1.0,2.0,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,2.0,,1.0,2.0,2.0,2.0,,2.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,2.0,,3-4 times during the year,3-4 times during the year,Did not occur,Once a month,3-4 times during the year,Once a month,Once a month,Once a month,Once a month,Once a month,Once a week,Did not occur,Once a month,Did not occur,1-2 times during the year,3-4 times during the year,1-2 times during the year,Did not occur,3-4 times during the year,Once a month,1-2 times during the year,6.0,50.0,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Likely,Not likely,Not likely,Not likely,Not likely,Not likely,,,,,,,,,,,,,,,,No ability grouping between any classes,3.0,28.0,1.0,1.0,-1.3694,0.0432,-0.3717,-0.3206,2.0,Either enrichment and remedial,0.531,0.725,,0.123,,0.144,-0.43,-0.53,-0.0586,3.0,At least one sometimes but neither always,1028.0,-1.0894,0.018,97.905,12.023,0.0882,-1.2132,1.2429,0.0826,0.4567,-0.5953,28.1787,2.0636,22NOV13
5561,Germany,2760000,DEU0101,OECD,Germany,35,Public,95.0,0.0,5.0,,Small Town,Two or More,3,170.0,130.0,15.0,25.0,15.0,23.0,,,7.0,5.0,,,,,,,6.0,4.0,40.0,18.0,18.0,26-50%,26-50%,51-75%,To some extent,Very little,Very little,To some extent,Very little,Very little,Very little,Not at all,Very little,Very little,Very little,Very little,To some extent,For some classes,,Not for any classes,For some classes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,,Yes,Yes,Yes,No,No,No,Yes,No,,,Yes,Remedial only,To some extent,To some extent,To some extent,To some extent,To some extent,To some extent,To some extent,To some extent,Very little,Very little,To some extent,Very little,Very little,Very little,Very little,Very little,Very little,Not at all,,0.0,Minority of Parents,25.0,20.0,25.0,20.0,5.0,10.0,11.0,5.0,0.0,15.0,10.0,0.0,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,,No,Yes,Yes,No,No change,No change,A small change,No change,No change,,,Never,Never,Never,Sometimes,Never,Sometimes,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,,2.0,2.0,1.0,1.0,,2.0,1.0,1.0,2.0,,2.0,1.0,1.0,2.0,,2.0,1.0,2.0,2.0,,1.0,2.0,2.0,2.0,,2.0,1.0,2.0,2.0,,2.0,1.0,1.0,2.0,,2.0,1.0,2.0,2.0,,,3-4 times during the year,1-2 times during the year,,3-4 times during the year,,Once a month,1-2 times during the year,Once a week,Once a month,Once a week,,Once a week,3-4 times during the year,1-2 times during the year,,1-2 times during the year,3-4 times during the year,Once a month,3-4 times during the year,1-2 times during the year,10.0,5.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Not likely,Not likely,Not likely,Not likely,Not likely,,,,,,,,,,,,,,,,,One of these forms of ability grouping between classes for s,4.0,23.0,1.0,3.0,-0.5941,-0.8296,0.1183,0.2468,2.0,Either enrichment and remedial,0.433,0.964,,0.345,,0.45,1.44,-0.62,-0.0586,3.0,Two factors are never considered,300.0,-0.4622,0.018,31.579,10.909,-1.7144,0.0095,1.2429,0.4686,1.1868,-0.4114,140.8801,10.3169,22NOV13
5562,Germany,2760000,DEU0210,OECD,Germany,36,Public,100.0,,,,City,Two or More,4,556.0,656.0,71.0,23.0,71.0,23.0,,,13.0,5.0,13.0,5.0,13.0,5.0,,,0.0,0.0,167.0,30.0,30.0,10-25%,26-50%,51-75%,Not at all,Not at all,Not at all,To some extent,Very little,Very little,Very little,To some extent,To some extent,Very little,Very little,Very little,Very little,Not for any classes,Not for any classes,For all classes,Not for any classes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Remedial only,Very little,Very little,Very little,Very little,Very little,Very little,Not at all,Very little,Not at all,Not at all,To some extent,To some extent,Very little,Not at all,Very little,Very little,Very little,Very little,Very little,1.0,Minority of Parents,1.0,35.0,10.0,90.0,5.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Agree,No,No,No,Yes,A moderate change,A small change,A small change,A small change,A small change,A moderate change,A moderate change,Always,Always,Never,Sometimes,Sometimes,Sometimes,,1.0,2.0,2.0,2.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,1.0,2.0,,2.0,1.0,2.0,2.0,,2.0,1.0,2.0,2.0,,1.0,2.0,2.0,2.0,,2.0,2.0,1.0,2.0,,2.0,1.0,2.0,2.0,,1.0,2.0,2.0,2.0,,Once a month,3-4 times during the year,Once a month,Once a month,3-4 times during the year,Once a week,Once a week,3-4 times during the year,Once a month,Once a week,Once a week,Once a month,Once a week,3-4 times during the year,1-2 times during the year,Once a month,1-2 times during the year,3-4 times during the year,1-2 times during the year,3-4 times during the year,1-2 times during the year,1.0,5.0,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Likely,Not likely,Not likely,Not likely,Likely,,,,,,,,,,,,,,,,,No ability grouping between any classes,3.0,28.0,1.0,3.0,0.1329,0.0432,0.1183,0.6907,3.0,Either enrichment and remedial,0.541,1.0,1.0,0.188,,0.18,0.87,-0.67,-0.3533,3.0,At least one always considered,1212.0,-0.1662,-0.5214,78.194,14.691,0.0882,-0.6748,-0.1437,1.4452,0.1524,-0.2762,20.2055,1.4797,22NOV13
5563,Germany,2760000,DEU0102,OECD,Germany,37,Public,100.0,,,,Town,Two or More,4,293.0,304.0,28.0,14.0,28.0,14.0,,,7.0,2.0,7.0,2.0,7.0,2.0,,,,,104.0,48.0,48.0,<10%,10-25%,51-75%,Not at all,Not at all,Not at all,Not at all,A lot,Very little,To some extent,To some extent,To some extent,Very little,A lot,To some extent,A lot,Not for any classes,For some classes,Not for any classes,For all classes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Remedial only,Very little,Very little,Very little,Very little,Very little,To some extent,Not at all,Very little,Very little,Very little,To some extent,Very little,Very little,To some extent,Very little,Not at all,Very little,Very little,Very little,,Minority of Parents,20.0,5.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Yes,Yes,Yes,No,A small change,,No change,No change,No change,No change,No change,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,2.0,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,,1.0,2.0,2.0,2.0,,2.0,1.0,1.0,1.0,,2.0,2.0,2.0,1.0,,1.0,1.0,1.0,2.0,,Once a month,3-4 times during the year,Once a month,Once a month,Once a month,3-4 times during the year,More than once a week,Once a week,More than once a week,More than once a week,More than once a week,Did not occur,More than once a week,3-4 times during the year,3-4 times during the year,3-4 times during the year,1-2 times during the year,1-2 times during the year,Did not occur,Once a week,1-2 times during the year,10.0,50.0,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Likely,Not likely,Not likely,Not likely,Likely,Likely,,,,,,,,,,,,,,,,One of these forms of ability grouping between classes for s,6.0,28.0,1.0,2.0,0.1329,0.2753,1.7628,0.4499,2.0,Either enrichment and remedial,0.509,1.0,1.0,0.229,,0.462,-0.62,-0.44,-0.0586,3.0,At least one always considered,597.0,-1.9349,-1.053,74.625,17.057,-0.1621,0.0095,0.2924,0.8541,-1.0911,-0.5953,27.1096,1.9853,22NOV13
5564,Germany,2760000,DEU0211,OECD,Germany,38,Public,100.0,0.0,0.0,0.0,Town,Two or More,4,451.0,402.0,40.0,22.0,0.0,0.0,,,11.0,2.0,11.0,2.0,11.0,2.0,,,0.0,0.0,132.0,87.0,87.0,10-25%,26-50%,26-50%,Very little,Very little,Not at all,Very little,Not at all,Not at all,Not at all,Not at all,Very little,Very little,Very little,Not at all,Very little,For all classes,Not for any classes,For some classes,For some classes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Both enrichment and remedial,Very little,Very little,Very little,Very little,Very little,Very little,Very little,Very little,Not at all,Very little,Very little,Very little,Very little,Very little,Very little,Very little,Very little,Very little,Very little,0.0,Largely absent,2.0,25.0,60.0,30.0,1.0,0.0,0.0,2.0,3.0,10.0,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Strongly agree,Yes,No,Yes,No,No change,A moderate change,A moderate change,A small change,A moderate change,A small change,A small change,Always,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,2.0,,2.0,2.0,1.0,2.0,,2.0,2.0,1.0,2.0,,1.0,2.0,2.0,2.0,,2.0,2.0,1.0,2.0,,2.0,2.0,1.0,2.0,,1.0,2.0,2.0,2.0,,More than once a week,Once a week,Once a month,Once a month,Once a month,More than once a week,More than once a week,Once a month,Once a week,More than once a week,Once a month,Did not occur,Once a week,Once a month,3-4 times during the year,1-2 times during the year,1-2 times during the year,3-4 times during the year,Did not occur,Once a month,3-4 times during the year,0.0,3.0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Not likely,Not likely,Not likely,Not likely,Likely,Not likely,,,,,,,,,,,,,,,,One of these forms of ability grouping for all classes,,28.0,1.0,3.0,0.7162,0.7066,0.6627,-0.0388,3.0,Both enrichment and remedial,0.471,0.0,1.0,0.235,,0.659,-0.25,-0.7,-0.6029,3.0,At least one always considered,853.0,0.1539,0.7524,71.083,16.725,-0.1621,0.0095,-1.8472,1.4452,0.4567,-0.2762,20.3437,1.4898,22NOV13
5565,Germany,2760000,DEU0109,OECD,Germany,39,Public,100.0,,,,Town,No Others,2,241.0,221.0,30.0,15.0,29.0,15.0,,,11.0,3.0,11.0,3.0,7.0,3.0,,,0.0,0.0,79.0,80.0,80.0,26-50%,10-25%,51-75%,Not at all,Not at all,Not at all,Very little,Not at all,Not at all,Not at all,Not at all,Very little,Very little,Not at all,Not at all,Not at all,For some classes,For some classes,For some classes,For some classes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Both enrichment and remedial,Very little,Very little,To some extent,Very little,Very little,To some extent,Very little,Very little,Not at all,Very little,To some extent,To some extent,Very little,Not at all,To some extent,To some extent,Very little,To some extent,Very little,,Minority of Parents,,,,,,,,,,,,,,,,,Strongly agree,Disagree,Agree,Disagree,Agree,Agree,Yes,No,Yes,Yes,No change,No change,No change,A small change,No change,A small change,A small change,Always,Always,Never,Sometimes,Never,Always,,1.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,1.0,2.0,1.0,2.0,,1.0,2.0,2.0,2.0,,2.0,1.0,1.0,2.0,,1.0,2.0,2.0,1.0,,2.0,2.0,1.0,2.0,,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,2.0,,More than once a week,3-4 times during the year,1-2 times during the year,Once a month,1-2 times during the year,Once a week,Once a week,1-2 times during the year,Once a week,More than once a week,Once a month,1-2 times during the year,Once a month,3-4 times during the year,3-4 times during the year,1-2 times during the year,1-2 times during the year,3-4 times during the year,Once a month,Once a month,1-2 times during the year,2.0,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Likely,Not likely,Not likely,Likely,Not likely,,,,,,,,,,,,,,,,,One of these forms of ability grouping between classes for s,,18.0,1.0,3.0,-0.3532,-0.5037,0.1183,0.2118,3.0,Both enrichment and remedial,0.478,0.973,0.68,0.333,,1.013,-0.53,-0.62,-0.6029,3.0,At least one always considered,462.0,1.3052,0.7524,36.96,12.32,-0.6182,0.0095,-1.0488,,-0.2817,-0.8958,71.7765,5.2563,22NOV13
5566,Germany,2760000,DEU0109,OECD,Germany,40,Private,95.0,4.0,1.0,0.0,City,Two or More,9,465.0,394.0,31.0,43.0,31.0,41.0,,,9.0,12.0,9.0,12.0,6.0,9.0,,,0.0,0.0,160.0,50.0,50.0,26-50%,51-75%,51-75%,Very little,Very little,Not at all,To some extent,To some extent,To some extent,To some extent,To some extent,To some extent,To some extent,To some extent,To some extent,Very little,For all classes,For all classes,For some classes,For all classes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Both enrichment and remedial,Very little,Very little,Very little,Very little,Very little,Very little,Not at all,Very little,Very little,Very little,Very little,Very little,Very little,Very little,Not at all,Not at all,Very little,Not at all,Very little,0.0,Minority of Parents,20.0,40.0,20.0,40.0,30.0,30.0,0.0,10.0,10.0,10.0,5.0,5.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,No,Yes,Yes,No,No change,No change,No change,No change,No change,A small change,A small change,Always,Always,Always,Sometimes,Sometimes,Sometimes,,1.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,2.0,,1.0,2.0,2.0,1.0,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,,Once a week,Once a week,Once a week,Once a month,Once a month,More than once a week,More than once a week,Once a week,Once a week,Once a week,Once a week,1-2 times during the year,Once a week,Once a week,Once a week,Once a week,Once a week,Once a week,Once a month,Once a month,3-4 times during the year,35.0,40.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Likely,Not likely,Likely,Not likely,Likely,,,,,,,,,,,,,,,,,One of these forms of ability grouping for all classes,4.0,53.0,1.0,3.0,1.0746,0.9289,0.6627,0.2118,4.0,Both enrichment and remedial,0.459,0.981,0.7,0.286,,0.313,1.44,-0.58,-0.0586,2.0,At least one always considered,859.0,-0.763,-1.2473,57.267,16.362,0.0882,0.702,0.7801,1.4452,0.7093,0.0647,38.879,2.8472,22NOV13
5567,Germany,2760000,DEU0210,OECD,Germany,41,Public,100.0,,,,City,Two or More,4,457.0,397.0,37.0,13.0,36.0,12.0,,,15.0,2.0,15.0,2.0,11.0,2.0,,,0.0,0.0,149.0,60.0,60.0,<10%,10-25%,10-25%,To some extent,Not at all,Not at all,Very little,Not at all,Very little,To some extent,Not at all,Very little,Very little,Not at all,Not at all,To some extent,Not for any classes,Not for any classes,Not for any classes,For all classes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Remedial only,Very little,Very little,To some extent,Very little,Very little,To some extent,Very little,Very little,Not at all,Very little,To some extent,Very little,Not at all,Very little,To some extent,Not at all,Very little,Very little,Very little,0.0,Largely absent,20.0,30.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Yes,Yes,No,No,No change,No change,No change,A large change,A small change,A small change,A large change,Always,Always,Never,Sometimes,Always,Always,Never,1.0,2.0,2.0,2.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,1.0,2.0,,2.0,2.0,1.0,2.0,,1.0,2.0,2.0,2.0,,2.0,1.0,2.0,2.0,,1.0,2.0,2.0,2.0,,2.0,2.0,1.0,2.0,,2.0,1.0,2.0,2.0,,1.0,2.0,1.0,2.0,,More than once a week,More than once a week,Once a week,Once a month,More than once a week,Once a week,Once a month,Once a week,More than once a week,More than once a week,More than once a week,Did not occur,More than once a week,3-4 times during the year,3-4 times during the year,3-4 times during the year,3-4 times during the year,3-4 times during the year,Did not occur,Once a month,3-4 times during the year,5.0,15.0,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not likely,Not likely,Not likely,Not likely,Not likely,Not likely,,,,,,,,,,,,,,,,No ability grouping between any classes,3.0,28.0,1.0,3.0,0.8948,1.1806,0.6627,0.4499,2.0,Either enrichment and remedial,0.465,0.966,0.75,0.368,,0.403,0.87,-0.62,-0.0586,3.0,At least one always considered,854.0,0.1539,0.018,53.375,19.632,-0.6182,1.2831,-0.5646,1.4452,0.4567,-0.2762,33.2797,2.4371,22NOV13
