,CNT,SUBNATIO,STRATUM,OECD,NC,SCHOOLID,STIDSTD,PA01Q01,PA01Q02,PA01Q03,PA02Q01,PA02Q02,PA03Q01,PA03Q02,PA03Q03,PA03Q04,PA05Q01,PA05Q02,PA05Q03,PA05Q04,PA07Q01,PA08Q01,PA09Q01,PA09Q02,PA09Q03,PA09Q04,PA09Q05,PA09Q06,PA09Q07,PA10Q01,PA10Q02,PA10Q03,PA10Q04,PA10Q05,PA10Q06,PA10Q07,PA10Q08,PA10Q09,PA10Q10,PA10Q11,PA11Q01,PA12Q01,PA12Q02,PA12Q03,PA12Q04,PA12Q05,PA12Q06,PA12Q07,PA12Q08,PA12Q09,PA12Q10,PA12Q11,PA13Q01,PA13Q02,PA13Q03,PA13Q04,PA13Q05,PA13Q06,PA13Q07,PA14Q01,PA14Q02,PA14Q03,PA14Q04,PA15Q01,PA15Q02,PA15Q03,PA15Q04,PA15Q05,PA18Q01,PA18Q02,PA18Q03,PA19Q01,PA19Q02,PA19Q03,PA19Q04,PA19Q05,PA19Q06,PA21Q01,PA21Q02,PA21Q03,PA21Q04,PA21Q05,PA21Q06,PA22Q01,PA23Q01,PA24N0101,PA24N0102,PA24N0103,PA24N0104,PA24N0105,PA24N0106,PA24N0107,PA24N0108,PA24N0109,PA24N0110,PA24N0111,PA24N0112,PA24N0113,PA24N0201,PA24N0202,PA24N0203,PA24N0204,PA24N0205,PA24N0206,PA24N0207,PA24N0208,PA24N0209,PA24N0210,PA24N0211,PA24N0212,PA24N0213,PA25Q01,PA25Q02,OCOD3,OCOD4,OCOD5,PARINVOL,PARSUPP,PQBFMJ,PQBMMJ,PQCITIZF,PQCITIZM,PQCOB_F,PQCOB_M,PQCOB_MGM,PQCOB_MGF,PQCOB_PGM,PQCOB_PGF,PQEDASP,PQFISCED,PQHISCED,PQHISEI,PQIMMIGF,PQIMMIGM,PQLANGNF,PQLANGNM,PQMCAR,PQMIMP,PQMISCED,PQOCCASP,PQSCHOOL,SENWGT_PAQ,VER_PAQ
10960,Germany,2760000,DEU0109,OECD,Germany,25,543,Tick,No tick,No tick,51 years or older,46 � 50 years,No,Yes,,,No,,Yes,,<$E> or more,Nothing,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Yes,No,No,No,No,No,No,No,Yes,No,No,No others,Important,Very important,Important,Not important,Not important,Somewhat important,Somewhat important,Not important,Very important,Very important,Very important,Once or twice a week,Every day or almost every day,Every day or almost every day,Never or hardly ever,Once or twice a month,Never or hardly ever,Once or twice a year,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,No,No,No,"No, Never","No, Never",,Tick,No tick,Tick,No tick,No tick,No tick,Country of test,Country of test,Country of test,Country of test,Country of test,Country of test,9998,9998,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Language of test,Language of test,Insurance representatives,Financial and insurance services branch managers,Missing,-0.1254,-0.6372,65.01,60.29,1.0,1.0,Germany,Germany,Germany,Germany,Germany,Germany,"ISCED 3B, C",2.0,3.0,65.01,1.0,1.0,German ,German ,0.0485,1.2956,3.0,,-0.536,0.4081,22NOV13
10961,Germany,2760000,DEU0109,OECD,Germany,25,544,Tick,No tick,No tick,46 � 50 years,46 � 50 years,Yes,No,No,,No,No,No,,<$D> or more but less than <$E>,Nothing,Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Strongly agree,No,No,No,No,No,No,No,No,No,No,No,One other,Very important,Very important,Very important,Not important,Not important,Not important,Important,Not important,Important,Important,Important,Once or twice a month,Every day or almost every day,Every day or almost every day,Once or twice a month,Once or twice a month,Never or hardly ever,Never or hardly ever,Disagree,Strongly agree,Agree,Agree,No,No,No,No,No,"No, Never","No, Never",,Tick,No tick,No tick,No tick,No tick,No tick,Country of test,Country of test,Country of test,Country of test,Country of test,Country of test,9998,9998,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Language of test,Language of test,Regulatory government associate professionals,Bank tellers and related clerks,Child care workers,-1.4809,-0.6372,48.1,61.6,1.0,1.0,Germany,Germany,Germany,Germany,Germany,Germany,ISCED 1,1.0,1.0,61.6,1.0,1.0,German ,German ,-1.2159,-0.4255,0.0,24.98,-0.8397,0.3782,22NOV13
10962,Germany,2760000,DEU0109,OECD,Germany,25,545,Tick,No tick,No tick,46 � 50 years,46 � 50 years,No,Yes,No,,Yes,Yes,No,,,,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,One other,Important,Very important,Very important,Somewhat important,Important,Very important,Very important,Very important,Very important,Very important,Very important,Once or twice a week,Every day or almost every day,Every day or almost every day,Once or twice a week,Every day or almost every day,Once or twice a month,Every day or almost every day,Agree,Strongly agree,Strongly agree,Agree,Yes,Yes,No,No,No,"No, Never","No, Never",,Tick,Tick,Tick,No tick,No tick,Tick,Country of test,Country of test,Country of test,Country of test,Country of test,Country of test,9998,9998,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Language of test,Language of test,Nursing professionals,Nursing associate professionals,Missing,1.5557,1.0539,56.0,68.7,1.0,1.0,Germany,Germany,Germany,Germany,Germany,Germany,"ISCED 5A, 6",2.0,2.0,68.7,1.0,1.0,German ,German ,0.0485,0.4396,2.0,,1.7172,0.3782,22NOV13
10963,Germany,2760000,DEU0109,OECD,Germany,25,546,Tick,No tick,No tick,41 � 45 years,36 � 40 years,No,No,No,,No,No,Yes,,<$B> or more but less than <$C>,<$W or more but less than $X>,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Yes,No,No,No,No,,No,No,No,No,No,Two or more,Important,Very important,Important,Not important,Not important,Very important,Not important,Not important,Very important,Important,Very important,Once or twice a week,Every day or almost every day,Every day or almost every day,Never or hardly ever,Every day or almost every day,Once or twice a year,Never or hardly ever,Disagree,Disagree,Agree,Strongly agree,Yes,No,No,No,No,"No, Never","No, Never",,Tick,No tick,No tick,Tick,No tick,No tick,Country of test,Country of test,Country of test,Country of test,Country of test,Country of test,9998,9998,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Language of test,Language of test,General office clerks,"Concrete placers, concrete finishers and related workers",Social work and counselling professionals,-0.6224,-0.3004,21.96,43.33,1.0,1.0,Germany,Germany,Germany,Germany,Germany,Germany,"ISCED 3A, ISCED 4",0.0,3.0,43.33,1.0,1.0,German ,German ,-0.4243,-0.9553,3.0,70.5,0.3309,0.4081,22NOV13
10964,Germany,2760000,DEU0109,OECD,Germany,25,547,No tick,Tick,No tick,46 � 50 years,46 � 50 years,No,No,No,,Yes,No,No,,<$B> or more but less than <$C>,<$X or more but less than $Y>,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Two or more,Very important,Very important,Very important,Not important,Not important,Not important,Important,Not important,Very important,Very important,Very important,Once or twice a week,Once or twice a week,Every day or almost every day,Once or twice a month,Every day or almost every day,Never or hardly ever,Once or twice a month,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No,No,No,No,"No, Never","No, Never",,Tick,No tick,No tick,No tick,No tick,No tick,Country of test,Country of test,Country of test,Country of test,Country of test,Country of test,9998,9998,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Language of test,Language of test,Child care workers,Precision-instrument makers and repairers,Pre-press technicians,0.315,0.0131,35.7,24.98,1.0,1.0,Germany,Germany,Germany,Germany,Germany,Germany,ISCED 1,0.0,1.0,35.7,1.0,1.0,German ,German ,-1.2159,1.2956,1.0,35.33,0.8861,0.4081,22NOV13
10965,Germany,2760000,DEU0109,OECD,Germany,25,548,Tick,No tick,No tick,41 � 45 years,41 � 45 years,No,Yes,Yes,,No,Yes,Yes,,<$E> or more,<More than $0 but less than $W>,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Yes,No,No,No,No,No,No,No,No,No,No,No others,Somewhat important,Important,Important,Not important,Somewhat important,Important,Not important,Not important,Very important,Important,Important,Every day or almost every day,Every day or almost every day,Every day or almost every day,Once or twice a month,Once or twice a week,Once or twice a year,Once or twice a year,Agree,Strongly agree,Agree,Disagree,Yes,No,No,No,No,"No, Never","No, Never",,Tick,Tick,Tick,Tick,Tick,No tick,Country of test,Country of test,Country of test,Country of test,Country of test,Country of test,9998,9998,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Language of test,Language of test,Nursing associate professionals,Sales and marketing managers,Do not know,-0.6314,0.165,71.39,56.0,1.0,1.0,Germany,Germany,Germany,Germany,Germany,Germany,ISCED 5B,3.0,3.0,71.39,1.0,1.0,German ,German ,-0.4243,-0.4255,3.0,,-1.0793,0.3782,22NOV13
10966,Germany,2760000,DEU0109,OECD,Germany,25,549,No tick,Tick,No tick,51 years or older,46 � 50 years,,,Yes,,,,,,<$A> or more but less than <$B>,<$W or more but less than $X>,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,One other,Somewhat important,Somewhat important,Somewhat important,Not important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Once or twice a week,Every day or almost every day,Every day or almost every day,Once or twice a week,Once or twice a week,Once or twice a week,Once or twice a month,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Yes,Yes,No,No,"No, Never","No, Never",,Tick,Tick,No tick,No tick,No tick,No tick,Country of test,Country of test,Country of test,Country of test,Country of test,Country of test,9998,9998,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Language of test,Language of test,Nursing associate professionals,Transport conductors,"Vague(a good job, a quiet job, a well paid job, an office jo",0.7501,0.646,38.44,56.0,1.0,1.0,Germany,Germany,Germany,Germany,Germany,Germany,ISCED 2,3.0,3.0,56.0,1.0,1.0,German ,German ,0.0485,1.2956,,,-0.536,0.3782,22NOV13
10967,Germany,2760000,DEU0109,OECD,Germany,25,550,No tick,Tick,No tick,41 � 45 years,36 � 40 years,Yes,No,No,,No,No,Yes,,,Nothing,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Yes,No,No,No,No,No,No,No,Yes,No,No,Two or more,Somewhat important,Important,Somewhat important,Not important,Somewhat important,Somewhat important,Somewhat important,Not important,Important,Somewhat important,Somewhat important,Once or twice a week,Every day or almost every day,Every day or almost every day,Once or twice a month,Once or twice a week,Once or twice a year,Once or twice a month,Disagree,Disagree,Agree,Agree,Yes,No,No,No,No,"No, Never","No, Never",,Tick,No tick,Tick,No tick,No tick,Tick,Country of test,Country of test,Country of test,Country of test,Country of test,Country of test,9998,9998,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Language of test,Language of test,Cooks,Software developers,Photographers,-0.1254,0.165,74.66,24.53,1.0,1.0,Germany,Germany,Germany,Germany,Germany,Germany,"ISCED 5A, 6",1.0,3.0,74.66,1.0,1.0,German ,German ,-0.4243,-1.2776,3.0,50.15,-0.8397,0.3782,22NOV13
10968,Germany,2760000,DEU0109,OECD,Germany,25,551,Tick,No tick,No tick,51 years or older,46 � 50 years,No,No,Yes,,No,No,Yes,,<$B> or more but less than <$C>,<More than $0 but less than $W>,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,No,No,No,No,No,No,No,No,Yes,No,No,One other,Important,Important,Important,Important,Important,Not important,Important,Somewhat important,Important,Important,Important,Once or twice a year,Every day or almost every day,Every day or almost every day,Once or twice a month,Never or hardly ever,Never or hardly ever,Once or twice a year,Disagree,Agree,Disagree,Strongly agree,No,No,No,No,No,"No, Never","No, Never",,Tick,Tick,No tick,No tick,No tick,No tick,Country of test,Country of test,Country of test,Country of test,Country of test,Country of test,9998,9998,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Language of test,Language of test,Secretaries (general),Trade brokers,Missing,-0.6314,-0.9916,61.18,44.94,1.0,1.0,Germany,Germany,Germany,Germany,Germany,Germany,ISCED 2,3.0,3.0,61.18,1.0,1.0,German ,German ,-1.2159,-0.9553,3.0,,0.6338,0.3782,22NOV13
10969,Germany,2760000,DEU0101,OECD,Germany,26,552,Tick,No tick,No tick,46 � 50 years,46 � 50 years,No,No,No,,No,No,No,,,<$Y or more but less than $Z>,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Two or more,Very important,Important,Very important,Important,Important,Very important,Important,Somewhat important,Important,Important,Very important,Every day or almost every day,Every day or almost every day,Every day or almost every day,Once or twice a week,Every day or almost every day,Every day or almost every day,Once or twice a month,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No,No,No,No,"No, Never","No, Never",,Tick,No tick,No tick,No tick,No tick,No tick,Country of test,Country of test,Country of test,Country of test,Country of test,Country of test,9998,9998,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Language of test,Language of test,Accounting and bookkeeping clerks,Cooks,Missing,0.7501,1.3249,24.53,50.37,1.0,1.0,Germany,Germany,Germany,Germany,Germany,Germany,ISCED 1,0.0,0.0,50.37,1.0,1.0,German ,German ,-1.2159,1.2956,0.0,,-0.8397,0.261,22NOV13
10970,Germany,2760000,DEU0101,OECD,Germany,26,554,Tick,Tick,No tick,51 years or older,46 � 50 years,,,,,,,,,<$A> or more but less than <$B>,<More than $0 but less than $W>,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No others,Somewhat important,Important,Somewhat important,Not important,Somewhat important,Important,Important,Somewhat important,Important,Important,Important,Once or twice a month,Every day or almost every day,Every day or almost every day,Once or twice a year,Once or twice a month,Never or hardly ever,Once or twice a year,Strongly agree,Agree,Agree,Strongly agree,No,Yes,No,No,No,"Yes, Once","No, Never",,Tick,No tick,No tick,Tick,No tick,No tick,,,,,,,41,35,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other language,Other language,Kitchen helpers,Refuse sorters,Missing,0.7501,-0.6372,14.39,16.5,1.0,1.0,Missing,Missing,Missing,Missing,Missing,Missing,"ISCED 3A, ISCED 4",,,16.5,,,Kurdish,Kurdish,-0.4243,0.4396,,,-0.536,0.2752,22NOV13
10971,Germany,2760000,DEU0101,OECD,Germany,26,556,No tick,Tick,No tick,46 � 50 years,41 � 45 years,No,Yes,Yes,,,,Yes,,<$E> or more,Nothing,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,No,No,No,No,No,No,No,No,No,No,No,No others,Somewhat important,Important,Important,Not important,Not important,Not important,Not important,Not important,Important,Important,Important,Once or twice a week,Every day or almost every day,Every day or almost every day,Once or twice a year,Once or twice a month,Never or hardly ever,Once or twice a month,Strongly agree,Agree,Strongly agree,Strongly agree,No,No,No,No,No,"No, Never","No, Never",,No tick,Tick,No tick,No tick,No tick,No tick,Country of test,Country of test,Country of test,Country of test,Country of test,Country of test,9998,9998,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Language of test,Language of test,Waiters,Managers,Missing,-1.4809,-0.3004,65.12,25.04,1.0,1.0,Germany,Germany,Germany,Germany,Germany,Germany,ISCED 2,3.0,3.0,65.12,1.0,1.0,German ,German ,-1.2159,0.7791,3.0,,-1.0793,0.261,22NOV13
10972,Germany,2760000,DEU0101,OECD,Germany,26,557,Tick,No tick,No tick,41 � 45 years,41 � 45 years,No,No,No,,No,No,No,,<$D> or more but less than <$E>,<$Y or more but less than $Z>,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,One other,Somewhat important,Important,Important,Not important,Somewhat important,Somewhat important,Somewhat important,Important,Important,Important,Important,Every day or almost every day,Once or twice a week,Every day or almost every day,Never or hardly ever,Never or hardly ever,Never or hardly ever,Never or hardly ever,Strongly agree,Strongly agree,Agree,Strongly agree,Yes,Yes,Yes,No,No,"No, Never","No, Never",,No tick,No tick,Tick,No tick,No tick,No tick,,Country of test,Country of test,Country of test,,,9998,24,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,Language of test,"Vague(a good job, a quiet job, a well paid job, an office jo",Plumbers and pipe fitters,Science and engineering professionals,1.1701,-1.1714,29.16,,1.0,,Germany,Missing,Germany,Germany,Missing,Missing,"ISCED 3B, C",0.0,0.0,29.16,,,German ,Missing,0.4708,0.7791,0.0,79.49,2.3177,0.3079,22NOV13
10973,Germany,2760000,DEU0101,OECD,Germany,26,558,No tick,Tick,No tick,51 years or older,51 years or older,No,No,No,,No,No,No,,<$A> or more but less than <$B>,<More than $0 but less than $W>,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,No,No,No,No,No,No,No,No,No,No,,Two or more,Important,Important,,Not important,Not important,Not important,Not important,Somewhat important,Somewhat important,Somewhat important,Important,Once or twice a week,,Once or twice a week,Never or hardly ever,Never or hardly ever,Once or twice a year,Once or twice a month,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No,No,No,No,"No, Never","No, Never",,Tick,Tick,Tick,Tick,No tick,No tick,Other country,Country of test,Other country,Other country,,,9998,42,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Another country (DEU),Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other language,Language of test,Shop sales assistants,Agricultural and industrial machinery mechanics and repairer,Do not know,-1.4796,-0.8782,31.72,28.48,1.0,3.0,Germany,Another country (DEU),Another country (DEU),Another country (DEU),Missing,Missing,"ISCED 3A, ISCED 4",0.0,0.0,31.72,,3.0,German ,Another language (DEU) ,-1.2159,1.2956,0.0,,-0.536,0.2752,22NOV13
10974,Germany,2760000,DEU0101,OECD,Germany,26,563,Tick,No tick,No tick,51 years or older,46 � 50 years,No,No,No,,No,No,No,,Less than <$A>,<$X or more but less than $Y>,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No others,Somewhat important,Very important,Very important,Very important,Very important,Not important,Very important,Important,Very important,Important,Very important,Once or twice a month,Once or twice a week,Every day or almost every day,Never or hardly ever,Every day or almost every day,Once or twice a year,Once or twice a year,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,No,Yes,No,No,"No, Never","No, Never",,No tick,No tick,No tick,No tick,No tick,Tick,Other country,Other country,Other country,Other country,Other country,Other country,30,26,Not selected,Greece ,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Greece ,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other language,Other language,Shop sales assistants,Heavy truck and lorry drivers,"Vague(a good job, a quiet job, a well paid job, an office jo",0.315,-0.4659,25.95,28.48,3.0,3.0,Greece ,Greece ,Greece ,Greece ,Greece ,Greece ,"ISCED 5A, 6",0.0,0.0,28.48,3.0,3.0,Greek,Greek,0.0485,1.2956,0.0,,1.7172,0.3079,22NOV13
10975,Germany,2760000,DEU0101,OECD,Germany,26,564,Tick,Tick,No tick,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tick,Tick,Tick,No tick,No tick,No tick,,,,,,,9999,9999,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,,Missing,Upholsterers and related workers,Missing,,,22.25,,,,Missing,Missing,Missing,Missing,Missing,Missing,"ISCED 3B, C",0.0,0.0,22.25,,,Missing,Missing,,,,,,0.2752,22NOV13
10976,Germany,2760000,DEU0101,OECD,Germany,26,565,Tick,No tick,No tick,41 � 45 years,46 � 50 years,No,No,No,,No,No,No,,<$A> or more but less than <$B>,<$W or more but less than $X>,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Yes,No,No,No,No,No,No,No,Yes,No,No,No others,Important,Very important,Very important,Somewhat important,Important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Every day or almost every day,Every day or almost every day,Every day or almost every day,Once or twice a week,Once or twice a week,Once or twice a month,Once or twice a week,Agree,Strongly agree,Strongly agree,Strongly agree,No,No,No,No,No,"No, Never","No, Never",,Tick,No tick,Tick,No tick,No tick,Tick,Country of test,Other country,Other country,Country of test,Other country,Other country,10,9998,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Greece ,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Language of test,Language of test,Freight handlers,General office clerks,Social work and counselling professionals,-0.1254,0.8345,43.33,17.69,3.0,1.0,Greece ,Germany,Greece ,Germany,Greece ,Greece ,"ISCED 5A, 6",0.0,0.0,43.33,3.0,1.0,German ,German ,-1.2159,0.7791,0.0,70.5,0.6338,0.3079,22NOV13
10977,Germany,2760000,DEU0101,OECD,Germany,26,566,Tick,No tick,No tick,46 � 50 years,41 � 45 years,Yes,No,Yes,,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,Two or more,Important,Important,Very important,Important,Important,Important,Somewhat important,Somewhat important,Very important,Very important,Very important,Every day or almost every day,,Every day or almost every day,Once or twice a week,Once or twice a week,Every day or almost every day,Every day or almost every day,Strongly agree,Agree,Strongly agree,Strongly agree,Yes,Yes,Yes,Yes,Yes,"No, Never","No, Never",,No tick,No tick,Tick,No tick,No tick,No tick,Other country,Other country,Other country,Other country,Other country,Other country,30,26,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,,Accountants,Product graders and testers (excluding foods and beverages),Missing,,1.6737,43.19,76.65,1.0,1.0,One of the former USSR republics ,One of the former USSR republics ,One of the former USSR republics ,One of the former USSR republics ,One of the former USSR republics ,One of the former USSR republics ,"ISCED 3B, C",3.0,3.0,76.65,3.0,3.0,Missing,Missing,1.7522,0.7791,1.0,,,0.3079,22NOV13
10978,Germany,2760000,DEU0101,OECD,Germany,26,568,No tick,Tick,No tick,46 � 50 years,41 � 45 years,Yes,No,No,,No,No,No,,<$A> or more but less than <$B>,<$W or more but less than $X>,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Yes,No,No,No,No,No,No,No,Yes,No,No,One other,Not important,Very important,Somewhat important,Not important,Not important,Not important,Not important,Not important,Very important,Very important,Very important,Every day or almost every day,Every day or almost every day,Every day or almost every day,Once or twice a month,Once or twice a week,Once or twice a year,Every day or almost every day,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Yes,Yes,Yes,Yes,"No, Never","No, Never",,Tick,No tick,Tick,No tick,No tick,Tick,Other country,Other country,Other country,Other country,Other country,Other country,27,19,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other language,Other language,"Tailors, dressmakers, furriers and hatters",Freight handlers,Securities and finance dealers and brokers,-0.1254,0.646,17.69,23.47,1.0,1.0,Another country (DEU),Another country (DEU),Another country (DEU),Another country (DEU),Another country (DEU),Another country (DEU),"ISCED 5A, 6",1.0,1.0,23.47,3.0,3.0,Another language (DEU) ,Another language (DEU) ,0.9496,1.2956,0.0,72.27,0.8861,0.261,22NOV13
10979,Germany,2760000,DEU0101,OECD,Germany,26,570,Tick,No tick,No tick,46 � 50 years,36 � 40 years,No,No,No,,No,No,No,,Less than <$A>,Nothing,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No others,Very important,Very important,Important,Very important,Important,Very important,Very important,Very important,Very important,Very important,Very important,Every day or almost every day,Every day or almost every day,Every day or almost every day,Once or twice a week,Every day or almost every day,Every day or almost every day,Every day or almost every day,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,Yes,No,Yes,"Yes, Once",,,No tick,No tick,No tick,No tick,No tick,Tick,Other country,Other country,Other country,Other country,Other country,Other country,18,18,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Turkey ,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Turkey ,Not selected,Other language,Other language,"Tailors, dressmakers, furriers and hatters","Tailors, dressmakers, furriers and hatters",Building architects,0.7501,2.2387,23.47,23.47,3.0,3.0,Turkey ,Turkey ,Turkey ,Turkey ,Turkey ,Turkey ,"ISCED 5A, 6",0.0,0.0,23.47,3.0,3.0,Turkish,Turkish,0.9496,1.2956,0.0,79.74,-0.0994,0.2752,22NOV13
