,CNTRYID,CNT,CNTSCHID,CYC,NatCen,Region,STRATUM,SUBNATIO,OECD,ADMINMODE,LANGTEST,SC001Q01TA,SC002Q01TA,SC002Q02TA,SC003Q01TA,SC004Q01TA,SC004Q02TA,SC004Q03TA,SC004Q04NA,SC004Q05NA,SC004Q06NA,SC004Q07NA,SC053Q01TA,SC053Q02TA,SC053Q03TA,SC053Q04TA,SC053Q05NA,SC053Q06NA,SC053Q07TA,SC053Q08TA,SC053Q09TA,SC053Q10TA,SC053D11TA,SC059Q01NA,SC059Q02NA,SC059Q03NA,SC059Q04NA,SC059Q05NA,SC059Q06NA,SC059Q07NA,SC059Q08NA,SC052Q01NA,SC052Q02NA,SC009Q01TA,SC009Q02TA,SC009Q03TA,SC009Q04TA,SC009Q05TA,SC009Q06TA,SC009Q07TA,SC009Q08TA,SC009Q09TA,SC009Q10TA,SC009Q11TA,SC009Q12TA,SC009Q13TA,SC010Q01TA,SC010Q01TB,SC010Q01TC,SC010Q01TD,SC010Q01TE,SC010Q02TA,SC010Q02TB,SC010Q02TC,SC010Q02TD,SC010Q02TE,SC010Q03TA,SC010Q03TB,SC010Q03TC,SC010Q03TD,SC010Q03TE,SC010Q04TA,SC010Q04TB,SC010Q04TC,SC010Q04TD,SC010Q04TE,SC010Q05TA,SC010Q05TB,SC010Q05TC,SC010Q05TD,SC010Q05TE,SC010Q06TA,SC010Q06TB,SC010Q06TC,SC010Q06TD,SC010Q06TE,SC010Q07TA,SC010Q07TB,SC010Q07TC,SC010Q07TD,SC010Q07TE,SC010Q08TA,SC010Q08TB,SC010Q08TC,SC010Q08TD,SC010Q08TE,SC010Q09TA,SC010Q09TB,SC010Q09TC,SC010Q09TD,SC010Q09TE,SC010Q10TA,SC010Q10TB,SC010Q10TC,SC010Q10TD,SC010Q10TE,SC010Q11TA,SC010Q11TB,SC010Q11TC,SC010Q11TD,SC010Q11TE,SC010Q12TA,SC010Q12TB,SC010Q12TC,SC010Q12TD,SC010Q12TE,SC012Q01TA,SC012Q02TA,SC012Q03TA,SC012Q04TA,SC012Q05TA,SC012Q06TA,SC012Q07TA,SC013Q01TA,SC014Q01NA,SC016Q01TA,SC016Q02TA,SC016Q03TA,SC016Q04TA,SC017Q01NA,SC017Q02NA,SC017Q03NA,SC017Q04NA,SC017Q05NA,SC017Q06NA,SC017Q07NA,SC017Q08NA,SC018Q01TA01,SC018Q01TA02,SC018Q02TA01,SC018Q02TA02,SC018Q05NA01,SC018Q05NA02,SC018Q06NA01,SC018Q06NA02,SC018Q07NA01,SC018Q07NA02,SC019Q01NA01,SC019Q01NA02,SC019Q02NA01,SC019Q02NA02,SC019Q03NA01,SC019Q03NA02,SC025Q01NA,SC025Q02NA,SC027Q01NA,SC027Q02NA,SC027Q03NA,SC027Q04NA,SC032Q01TA,SC032Q02TA,SC032Q03TA,SC032Q04TA,SC034Q01NA,SC034Q02NA,SC034Q03TA,SC034Q04TA,SC035Q01NA,SC035Q01NB,SC035Q02TA,SC035Q02TB,SC035Q03TA,SC035Q03TB,SC035Q04TA,SC035Q04TB,SC035Q05TA,SC035Q05TB,SC035Q06TA,SC035Q06TB,SC035Q07TA,SC035Q07TB,SC035Q08TA,SC035Q08TB,SC035Q09NA,SC035Q09NB,SC035Q10TA,SC035Q10TB,SC035Q11NA,SC035Q11NB,SC036Q01TA,SC036Q02TA,SC036Q03NA,SC037Q01TA,SC037Q02TA,SC037Q03TA,SC037Q04TA,SC037Q05NA,SC037Q06NA,SC037Q07TA,SC037Q08TA,SC037Q09TA,SC037Q10NA,SC040Q02NA,SC040Q03NA,SC040Q05NA,SC040Q11NA,SC040Q12NA,SC040Q15NA,SC040Q16NA,SC040Q17NA,SC041Q01NA,SC041Q03NA,SC041Q04NA,SC041Q05NA,SC041Q06NA,SC042Q01TA,SC042Q02TA,SC048Q01NA,SC048Q02NA,SC048Q03NA,SC061Q01TA,SC061Q02TA,SC061Q03TA,SC061Q04TA,SC061Q05TA,SC061Q06TA,SC061Q07TA,SC061Q08TA,SC061Q09TA,SC061Q10TA,SC063Q02NA,SC063Q03NA,SC063Q04NA,SC063Q06NA,SC063Q07NA,SC063Q09NA,SC064Q01TA,SC064Q02TA,SC064Q03TA,SC064Q04NA,SCHSIZE,CLSIZE,RATCMP1,RATCMP2,LEAD,LEADCOM,LEADINST,LEADPD,LEADTCH,RESPCUR,RESPRES,SCHAUT,TEACHPART,EDUSHORT,STAFFSHORT,PROAT5AB,PROAT5AM,PROAT6,PROATCE,TOTAT,PROSTAT,PROSTCE,PROSTMAS,TOTST,CREACTIV,SCIERES,STUBEHA,TEACHBEHA,STRATIO,SCHLTYPE,W_SCHGRNRABWT,SENWT,VER_DAT
64,276.0,DEU,27600068.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,3.0,1800.0,300.0,3.0,700.0,200.0,200.0,50.0,7.0,60.0,50.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,9999997.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,5.0,3.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,3.0,4.0,4.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,,99.0,,1.0,,3.0,3.0,4.0,,1.0,1.0,1.0,1.0,62.0,8.0,62.0,8.0,15.0,0.0,50.0,5.0,0.0,0.0,62.0,8.0,15.0,,47.0,8.0,40.0,40.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,,1.0,1.0,1.0,2.0,1.0,3.0,2.0,9.0,13.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,2100.0,23.0,0.2857,1.0,-0.6364,0.2207,-0.5081,-0.8791,-0.6716,-0.2296,-0.4302,0.75,4.0,-1.2541,1.9524,0.2273,0.7955,0.0,1.0,66.0,1.0,0.2273,0.7727,66.0,0.0,7.0,-0.3334,0.9233,31.8182,3.0,33.271323529,12.62641,15NOV16:14:59:10
65,276.0,DEU,27600069.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,2.0,420.0,382.0,3.0,98.0,100.0,33.0,0.0,4.0,25.0,115.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,9999997.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,6.0,4.0,6.0,3.0,3.0,,,6.0,,2.0,3.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,,1.0,1.0,0.0,0.0,,3.0,3.0,,1.0,1.0,3.0,2.0,1.0,,99.0,,1.0,,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,55.0,16.0,55.0,16.0,0.0,0.0,,9.0,0.0,0.0,4.0,2.0,,,4.0,2.0,55.0,48.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,80.0,52.0,2.0,1.0,802.0,23.0,1.0204,0.33,0.1672,0.6412,0.5691,,,-0.2296,-0.6941,0.5,5.0,-1.2541,0.1038,0.0,0.0714,0.0,1.0,63.0,0.0794,,1.0,5.0,2.0,5.0,-0.5703,0.9807,12.7302,3.0,30.553674766,11.59506,15NOV16:14:59:10
66,276.0,DEU,27600070.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,9999997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.83701,10.1846,15NOV16:14:59:10
67,276.0,DEU,27600071.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,9999997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.26875,35.77482,15NOV16:14:59:10
68,276.0,DEU,27600072.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,4.0,240.0,233.0,4.0,81.0,60.0,60.0,30.0,1.0,9.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9999997.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,6.0,3.0,6.0,4.0,4.0,3.0,5.0,3.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,,0.0,1.0,0.0,1.0,,1.0,0.0,0.0,0.0,,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,,95.0,0.0,5.0,0.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,18.0,15.0,18.0,15.0,0.0,0.0,18.0,15.0,0.0,0.0,5.0,4.0,5.0,4.0,5.0,4.0,12.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,3.0,3.0,10.0,5.0,15.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,60.0,93.0,25.0,19.0,473.0,28.0,0.7407,1.0,-0.3165,-1.4467,-0.7967,0.9596,-0.1259,-0.7997,-0.6061,0.58,3.0,0.4798,0.7317,0.0,1.0,0.0,1.0,25.5,0.2745,1.0,1.0,7.0,3.0,4.0,-0.3334,-0.5434,18.549,3.0,40.106442857,15.22032,15NOV16:14:59:10
69,276.0,DEU,27600073.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,2.0,400.0,364.0,3.0,123.0,112.0,112.0,44.0,14.0,30.0,130.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,9999997.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,5.0,4.0,2.0,3.0,2.0,5.0,4.0,4.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,,2.0,2.0,3.0,3.0,2.0,3.0,,1.0,,100.0,,,,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,40.0,16.0,40.0,14.0,40.0,16.0,40.0,14.0,1.0,1.0,17.0,5.0,17.0,5.0,17.0,5.0,30.0,30.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,3.0,41.0,2.0,25.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,50.0,25.0,5.0,1.0,764.0,23.0,0.9106,1.0,-0.8383,-0.2567,-0.9251,-0.7618,-0.4756,-0.6572,-0.5181,0.75,5.0,0.5881,0.5382,1.0,0.9792,0.0313,0.9792,48.0,0.4063,1.0,1.0,19.5,2.0,6.0,0.5482,1.2432,15.9167,3.0,17.394808743,6.6013,15NOV16:14:59:10
70,276.0,DEU,27600074.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,2.0,424.0,342.0,4.0,135.0,79.0,79.0,7.0,5.0,17.0,83.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,9999997.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,3.0,6.0,2.0,1.0,1.0,0.0,1.0,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,,1.0,1.0,0.0,1.0,,1.0,1.0,0.0,0.0,,3.0,3.0,1.0,3.0,1.0,3.0,,1.0,,100.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,31.0,19.0,31.0,17.0,,18.0,,14.0,0.0,0.0,12.0,1.0,12.0,0.0,12.0,1.0,17.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,7.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,98.0,60.0,92.0,766.0,28.0,0.5852,1.0,0.8708,0.3572,0.9613,1.8133,1.0919,-0.4196,-0.2102,0.83,6.0,-0.9866,-0.4548,0.2222,0.1728,0.0,0.9753,40.5,0.3086,0.96,1.0,12.5,3.0,7.0,-0.995,-2.1182,18.9136,3.0,22.459608,8.52338,15NOV16:14:59:10
71,276.0,DEU,27600075.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,3.0,738.0,607.0,4.0,9.0,405.0,405.0,0.0,8.0,32.0,53.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,9999997.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,5.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,,3.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,,99.0,0.0,0.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,92.0,9.0,92.0,9.0,21.0,3.0,71.0,6.0,0.0,0.0,7.0,,7.0,,0.0,,15.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,3.0,5.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,,90.0,50.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,5.0,1.0,74.0,1345.0,28.0,,,-1.6725,-1.4467,-1.165,-3.0582,-0.2263,-1.0847,-0.6589,0.58,0.0,-0.4813,0.9226,0.2332,0.7668,0.0,1.0,96.5,0.0725,1.0,0.0,7.0,2.0,7.0,0.0185,0.2229,13.9378,3.0,94.26875,35.77482,15NOV16:14:59:10
72,276.0,DEU,27600076.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,3.0,291.0,415.0,4.0,84.0,,,,3.0,35.0,10.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9999997.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,4.0,,4.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706.0,28.0,,,,,,,,-0.7997,-0.3422,0.0,0.0,,,,,,,,,,,,2.0,2.0,,,,,38.352409639,14.55467,15NOV16:14:59:10
73,276.0,DEU,27600077.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,3.0,439.0,357.0,3.0,94.0,60.0,45.0,15.0,2.0,21.0,15.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,9999997.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,,3.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,,95.0,0.0,0.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,33.0,37.0,33.0,37.0,0.0,0.0,33.0,37.0,0.0,1.0,15.0,,10.0,5.0,10.0,5.0,16.0,33.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,5.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,,,,,,2.0,3.0,6.0,20.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,30.0,10.0,,796.0,23.0,0.6383,0.75,-0.9574,-0.3054,-0.1754,-1.3205,-1.1042,-0.2296,-0.6941,0.5,3.0,0.0805,-0.8076,0.0,1.0,0.0097,1.0,51.5,0.2913,0.8333,0.8333,15.0,1.0,5.0,0.4463,0.5529,15.4563,3.0,29.276738182,11.11047,15NOV16:14:59:10
74,276.0,DEU,27600078.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,3.0,97.0,72.0,1.0,26.0,16.0,16.0,6.0,0.0,5.0,40.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,9999997.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,5.0,6.0,4.0,6.0,5.0,4.0,,2.0,3.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,,3.0,1.0,1.0,3.0,1.0,2.0,,1.0,,100.0,,,,3.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,23.0,5.0,23.0,5.0,23.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,100.0,100.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,38.0,100.0,80.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,81.0,95.0,7.0,,169.0,13.0,0.6154,1.0,0.3085,0.6096,0.5388,-0.1292,,1.4806,-0.6061,0.67,4.0,-0.3301,0.8467,1.0,0.0,0.0,1.0,25.5,0.0392,1.0,0.0,1.0,1.0,4.0,0.0185,0.3432,6.6275,3.0,87.58889,33.23982,15NOV16:14:59:10
75,276.0,DEU,27600079.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,3.0,105.0,42.0,1.0,3.0,15.0,15.0,0.0,2.0,12.0,30.0,2.0,2.0,2.0,1.0,2.0,,2.0,2.0,1.0,1.0,9999997.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,5.0,6.0,6.0,3.0,5.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,0.0,,2.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,,99.0,0.0,1.0,0.0,2.0,1.0,4.0,2.0,2.0,2.0,3.0,3.0,17.0,11.0,,,3.0,,,,0.0,,6.0,1.0,,,0.0,,15.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,33.0,100.0,66.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,2.0,10.0,147.0,13.0,,,0.175,-0.0247,0.5323,0.2668,-0.1907,-0.6572,-0.7192,0.58,6.0,0.5881,0.546,0.1333,,0.0,,22.5,0.2889,,0.0,6.5,1.0,0.0,-0.666,0.2992,6.5333,3.0,87.58889,33.23982,15NOV16:14:59:10
